Weather,Road_Type,Time,Vehicle_Count,Speed,Accident
Sunny,Highway,13,90,78.0,0
Foggy,City,3,27,22.0,0
Rainy,City,3,29,48.0,0
Sunny,Highway,20,124,41.0,0
Sunny,City,14,199,57.0,0
Sunny,Rural,7,218,73.0,0
Foggy,Rural,3,217,126.0,1
Rainy,Highway,15,49,112.0,0
Sunny,City,20,48,69.0,0
Sunny,Rural,3,189,125.0,0
Sunny,Rural,15,41,88.0,0
Foggy,,21,133,49.0,0
Foggy,City,11,117,42.0,0
Rainy,Rural,15,210,104.0,1
Foggy,Rural,18,36,109.0,1
Sunny,Highway,7,119,66.0,0
Rainy,Highway,5,189,40.0,0
Sunny,Rural,9,106,39.0,0
Sunny,Highway,4,200,42.0,0
Foggy,Rural,17,83,87.0,0
Rainy,Rural,9,200,40.0,0
Foggy,Highway,9,26,40.0,0
Foggy,Highway,6,58,20.0,0
Rainy,City,17,237,34.0,0
Sunny,City,0,90,36.0,0
,City,6,219,70.0,0
Rainy,Rural,20,125,82.0,0
Sunny,Highway,0,32,33.0,0
Rainy,Rural,14,107,78.0,0
Rainy,Highway,3,81,102.0,0
Foggy,Rural,19,150,69.0,1
Rainy,City,9,160,53.0,0
Foggy,City,22,66,25.0,0
Sunny,City,8,199,128.0,0
Sunny,Rural,1,191,,0
Sunny,Highway,13,157,25.0,0
Sunny,Highway,15,95,88.0,0
Foggy,City,0,248,26.0,0
Sunny,City,1,189,116.0,0
Rainy,City,6,32,96.0,0
Rainy,City,9,114,70.0,1
Rainy,Highway,21,172,20.0,0
Foggy,Rural,19,76,32.0,0
Sunny,,0,43,62.0,0
Sunny,Rural,12,42,46.0,0
Sunny,Rural,0,55,90.0,0
Foggy,City,4,90,22.0,0
Rainy,City,15,182,77.0,0
Rainy,City,14,156,108.0,1
Sunny,Rural,16,231,116.0,0
Rainy,City,22,96,123.0,0
Rainy,City,15,24,36.0,0
Foggy,Highway,12,132,64.0,0
Foggy,Highway,10,130,97.0,1
Foggy,City,16,87,120.0,0
Foggy,Highway,16,75,77.0,0
Sunny,Highway,1,48,75.0,0
Foggy,City,12,27,73.0,0
Rainy,City,13,207,106.0,1
Sunny,City,10,196,107.0,0
Rainy,City,9,169,48.0,0
Rainy,Rural,2,30,121.0,0
Rainy,Rural,16,177,73.0,0
Foggy,City,14,229,46.0,0
Foggy,Highway,8,36,121.0,1
Sunny,City,9,11,123.0,0
Sunny,City,7,106,,0
Foggy,Highway,20,217,106.0,1
Rainy,Rural,12,48,50.0,0
Sunny,City,17,223,55.0,0
Foggy,City,4,65,100.0,0
Foggy,Rural,5,116,80.0,0
Foggy,Rural,16,136,56.0,0
Rainy,Highway,10,248,86.0,1
Foggy,Rural,19,22,55.0,0
Foggy,Rural,15,135,24.0,0
Foggy,Rural,8,193,65.0,1
Foggy,Highway,1,203,98.0,1
Sunny,Rural,4,215,71.0,0
Sunny,Rural,0,65,68.0,0
Foggy,Highway,3,239,25.0,0
Rainy,Rural,3,242,29.0,0
Sunny,Rural,21,37,115.0,0
Foggy,,2,73,42.0,0
Sunny,City,8,80,36.0,0
Sunny,Highway,21,219,129.0,0
Rainy,Rural,22,201,,1
Foggy,Rural,11,193,63.0,1
Foggy,Rural,9,178,60.0,1
Rainy,Highway,1,128,34.0,0
Rainy,Rural,10,109,63.0,1
Foggy,Rural,9,50,129.0,1
Foggy,Highway,21,237,77.0,1
Rainy,City,5,245,105.0,1
Sunny,City,17,13,69.0,0
Sunny,Rural,1,194,71.0,0
Rainy,Highway,1,167,89.0,0
Sunny,Rural,9,97,87.0,0
Rainy,Highway,15,93,82.0,0
Sunny,Highway,11,55,77.0,0
Sunny,City,0,193,42.0,0
Foggy,City,20,168,63.0,1
Foggy,Highway,7,97,128.0,1
Sunny,Rural,15,16,102.0,0
Sunny,City,17,227,128.0,0
,Rural,12,86,114.0,0
Foggy,City,14,191,63.0,1
Foggy,City,20,145,71.0,0
Rainy,Rural,11,192,86.0,0
Sunny,City,7,206,47.0,0
Foggy,City,9,181,,1
Sunny,Rural,13,150,97.0,0
Rainy,City,4,102,37.0,0
Rainy,City,17,29,46.0,0
Foggy,City,18,87,70.0,0
Rainy,Rural,14,169,79.0,0
Sunny,Highway,5,197,93.0,0
Foggy,Rural,10,187,68.0,1
Sunny,Highway,20,36,34.0,0
Sunny,City,10,129,102.0,0
Rainy,Highway,19,34,92.0,0
Rainy,Rural,19,61,87.0,0
Rainy,Rural,20,205,34.0,0
Rainy,City,17,30,70.0,0
Rainy,Highway,17,27,67.0,0
Foggy,City,9,48,91.0,1
Sunny,City,1,24,20.0,0
Sunny,Rural,8,62,26.0,0
Sunny,Highway,13,47,72.0,0
Sunny,Highway,18,185,50.0,0
Rainy,Highway,9,61,37.0,0
Sunny,Highway,22,225,31.0,0
Foggy,City,3,81,67.0,0
Foggy,City,5,37,49.0,0
Sunny,Rural,13,222,116.0,0
Sunny,City,3,153,26.0,0
Foggy,City,14,127,111.0,1
Foggy,Rural,15,153,22.0,0
Rainy,Rural,6,44,126.0,0
Foggy,Rural,16,154,82.0,1
Rainy,City,18,210,25.0,0
Rainy,City,18,108,114.0,1
Rainy,,16,61,121.0,0
Rainy,Rural,5,230,34.0,0
Rainy,Rural,10,240,90.0,1
Sunny,City,15,219,62.0,0
Foggy,City,7,149,113.0,1
Rainy,Highway,10,92,110.0,1
Foggy,City,6,57,100.0,0
Foggy,City,23,31,37.0,0
,City,21,132,41.0,0
Sunny,Rural,18,136,80.0,0
Rainy,City,9,186,80.0,1
Sunny,,8,61,72.0,0
Foggy,Highway,3,88,45.0,0
Sunny,Highway,22,138,110.0,0
Sunny,Rural,14,75,,0
Sunny,Rural,12,73,107.0,0
Foggy,Rural,1,17,27.0,0
Foggy,City,1,223,40.0,0
Sunny,Highway,15,34,112.0,0
Sunny,Rural,8,203,62.0,0
Rainy,City,12,210,40.0,0
Sunny,Highway,2,210,22.0,0
Rainy,City,8,214,50.0,0
Sunny,Highway,12,207,46.0,0
Rainy,City,20,103,129.0,0
Foggy,Highway,21,216,46.0,0
Sunny,Highway,1,188,92.0,0
Sunny,City,7,190,76.0,0
Sunny,Rural,8,24,116.0,0
Sunny,Highway,15,187,52.0,0
Rainy,Rural,1,208,109.0,1
,City,5,131,111.0,0
,Rural,21,84,63.0,0
Foggy,Rural,7,113,,0
Sunny,Rural,4,47,50.0,0
Foggy,Rural,8,177,84.0,1
Sunny,Rural,0,203,103.0,0
Sunny,Highway,8,124,95.0,0
Foggy,Highway,9,249,36.0,1
Sunny,Highway,22,48,34.0,0
Foggy,City,3,211,53.0,0
Rainy,Rural,2,117,99.0,0
Sunny,Highway,9,26,23.0,0
Rainy,City,14,144,91.0,0
Foggy,Highway,10,127,117.0,1
Rainy,Highway,13,241,129.0,1
Rainy,Rural,5,48,108.0,0
Foggy,City,11,205,98.0,1
Rainy,Rural,12,44,47.0,0
Rainy,Rural,16,60,92.0,0
Foggy,Highway,15,56,21.0,0
Rainy,Rural,2,45,36.0,0
Foggy,City,1,73,77.0,0
Rainy,Rural,10,104,93.0,1
Foggy,Rural,8,226,28.0,1
Foggy,Rural,2,114,50.0,0
Rainy,Highway,17,22,85.0,0
Rainy,City,19,155,107.0,1
Rainy,Highway,14,158,81.0,0
Sunny,Highway,13,121,38.0,0
Sunny,Highway,1,74,100.0,0
Sunny,Highway,16,237,126.0,0
Foggy,Highway,21,17,93.0,0
Rainy,City,7,57,74.0,0
Foggy,Rural,9,94,47.0,0
Sunny,Highway,17,52,121.0,0
Rainy,Highway,18,190,111.0,1
Foggy,City,7,94,69.0,0
Rainy,City,7,164,84.0,0
Foggy,Rural,2,28,22.0,0
Rainy,City,2,32,98.0,0
Sunny,Rural,11,124,71.0,0
Sunny,Highway,21,59,29.0,0
Rainy,Highway,16,188,40.0,0
Foggy,Rural,3,52,56.0,0
Sunny,City,16,108,34.0,0
Sunny,Rural,13,113,106.0,0
Sunny,City,18,125,97.0,0
Rainy,Highway,8,60,98.0,0
Rainy,City,20,115,93.0,0
Foggy,Rural,11,121,28.0,0
Foggy,Rural,4,206,63.0,1
Foggy,Highway,10,178,58.0,1
Rainy,City,19,81,24.0,0
Rainy,City,2,148,44.0,0
Foggy,City,20,89,75.0,0
Foggy,Highway,14,240,125.0,1
Rainy,City,13,248,109.0,1
Foggy,Rural,10,225,83.0,1
Sunny,City,19,222,91.0,0
Rainy,Highway,7,189,105.0,1
Foggy,City,3,160,71.0,1
Rainy,City,11,58,108.0,0
Sunny,Rural,7,175,95.0,0
Rainy,City,5,56,28.0,0
Rainy,Rural,14,81,29.0,0
Rainy,Rural,11,16,29.0,0
Rainy,Highway,15,75,92.0,0
Sunny,Rural,15,231,81.0,0
Rainy,Rural,20,86,109.0,0
Rainy,Highway,19,71,118.0,0
Foggy,Rural,19,224,,1
Rainy,Highway,3,166,79.0,0
Foggy,City,10,47,114.0,1
Sunny,Highway,12,134,38.0,0
Sunny,Rural,8,238,126.0,0
Sunny,Highway,3,93,57.0,0
Sunny,Rural,11,170,,0
Foggy,City,8,38,34.0,0
Rainy,Highway,12,123,112.0,0
Sunny,City,15,88,66.0,0
Rainy,Rural,5,32,64.0,0
Foggy,Rural,9,115,24.0,0
Foggy,City,12,140,97.0,1
Foggy,Highway,6,110,72.0,0
Sunny,Highway,18,230,85.0,0
Rainy,Rural,23,182,81.0,0
Rainy,City,18,17,42.0,0
Rainy,City,16,95,63.0,0
Foggy,Highway,12,126,71.0,0
Sunny,Highway,12,38,,0
Foggy,Highway,20,11,38.0,0
Foggy,City,1,242,107.0,1
Rainy,Highway,9,122,103.0,1
Foggy,Highway,21,187,66.0,1
Rainy,Rural,12,246,110.0,1
Sunny,Highway,8,74,71.0,0
Rainy,Highway,0,117,43.0,0
Sunny,City,13,29,36.0,0
Rainy,City,15,189,108.0,1
Foggy,Rural,19,222,65.0,1
Foggy,Highway,14,46,83.0,0
Sunny,Rural,0,81,114.0,0
Sunny,City,16,36,47.0,0
Sunny,Rural,23,184,69.0,0
Rainy,City,12,132,83.0,0
Rainy,Rural,14,236,47.0,0
Sunny,Rural,15,143,105.0,0
Foggy,Highway,15,197,75.0,1
Rainy,Rural,1,54,78.0,0
Rainy,Highway,16,181,24.0,0
Rainy,Highway,10,92,73.0,1
Sunny,Highway,7,155,63.0,0
Sunny,Highway,19,129,61.0,0
Sunny,Rural,2,74,91.0,0
Sunny,City,11,34,121.0,0
Sunny,City,19,36,111.0,0
Foggy,City,15,144,76.0,0
Foggy,Rural,13,181,66.0,1
Sunny,Highway,15,115,95.0,0
Rainy,City,20,166,44.0,0
Sunny,Rural,16,232,121.0,0
Foggy,Highway,10,53,63.0,0
Foggy,City,16,116,34.0,0
Rainy,Highway,18,45,,0
Foggy,City,21,156,124.0,1
Sunny,City,0,15,70.0,0
Rainy,City,11,162,72.0,0
Sunny,Highway,14,168,53.0,0
Sunny,Rural,17,18,128.0,0
Rainy,Highway,22,221,96.0,1
Sunny,City,13,211,27.0,0
Foggy,Highway,0,174,96.0,1
Sunny,Rural,12,164,119.0,0
Rainy,Highway,14,22,89.0,0
Rainy,Rural,6,50,121.0,0
Rainy,Rural,14,137,115.0,0
Sunny,Highway,19,75,40.0,0
Rainy,City,9,94,127.0,1
Rainy,Rural,13,234,127.0,1
Sunny,Highway,5,33,26.0,0
Foggy,Rural,13,53,109.0,0
Sunny,City,23,115,98.0,0
Rainy,Highway,21,107,75.0,0
Rainy,Highway,11,69,68.0,0
Sunny,Highway,10,18,61.0,0
Foggy,City,19,139,42.0,0
Rainy,Rural,21,65,71.0,0
Rainy,Highway,23,167,121.0,1
Rainy,Rural,18,31,124.0,0
Sunny,Rural,1,247,98.0,0
Rainy,City,21,212,72.0,0
Foggy,Highway,19,244,123.0,1
Rainy,Rural,0,90,35.0,0
Rainy,Highway,7,109,115.0,0
Foggy,Highway,13,22,56.0,0
,City,8,80,37.0,0
Sunny,Highway,1,25,39.0,0
Sunny,Highway,22,234,65.0,0
Sunny,Rural,4,54,21.0,0
Foggy,City,22,74,106.0,0
Rainy,Highway,7,148,113.0,0
Sunny,Rural,15,79,82.0,0
Foggy,City,21,157,22.0,0
Rainy,City,15,108,65.0,0
Foggy,Rural,12,245,122.0,1
Sunny,Rural,19,200,68.0,0
Sunny,Rural,14,110,20.0,0
Sunny,Rural,0,114,124.0,0
Foggy,Rural,21,227,41.0,0
Foggy,Highway,2,149,112.0,1
Sunny,Highway,5,199,33.0,0
Foggy,City,21,103,,1
Sunny,Highway,13,229,104.0,0
Sunny,,3,228,64.0,0
Rainy,Highway,17,51,115.0,0
Foggy,Rural,14,92,25.0,0
Sunny,City,8,206,84.0,0
Sunny,City,17,195,40.0,0
Foggy,City,2,142,23.0,0
Rainy,City,9,114,22.0,0
Rainy,Highway,16,164,49.0,0
Sunny,Highway,6,37,50.0,0
Foggy,Rural,14,35,53.0,0
Rainy,City,0,228,102.0,1
Foggy,Highway,10,125,39.0,0
Foggy,Highway,16,58,106.0,0
Sunny,Rural,4,243,73.0,0
Rainy,Rural,6,158,123.0,1
Sunny,Rural,18,10,44.0,0
Rainy,Highway,23,101,34.0,0
Rainy,Highway,14,249,57.0,0
Rainy,Rural,2,67,42.0,0
Rainy,City,14,88,71.0,0
Rainy,Rural,4,192,85.0,0
Foggy,Rural,22,90,76.0,0
Sunny,Rural,11,35,76.0,0
Foggy,Rural,19,221,,1
Rainy,Highway,4,162,71.0,0
Sunny,City,2,86,127.0,0
Rainy,Rural,8,170,54.0,0
Sunny,City,8,226,93.0,0
Foggy,,6,81,33.0,0
Sunny,City,1,78,110.0,0
Sunny,Rural,22,15,33.0,0
Sunny,Highway,22,32,118.0,0
Sunny,Rural,20,167,52.0,0
Sunny,City,15,215,71.0,0
Rainy,City,8,63,20.0,0
Sunny,Highway,12,96,53.0,0
Sunny,Rural,18,20,38.0,0
Foggy,City,19,168,43.0,1
Sunny,Highway,16,143,125.0,0
Foggy,City,5,20,23.0,0
Rainy,Highway,3,86,55.0,0
Sunny,Highway,0,21,96.0,0
Foggy,,17,203,77.0,1
Foggy,City,18,62,51.0,0
Rainy,Rural,8,108,28.0,0
Sunny,City,12,45,122.0,0
Sunny,Rural,7,154,99.0,0
Foggy,City,22,37,86.0,0
Sunny,Rural,12,229,,0
Foggy,Highway,14,159,93.0,1
Sunny,City,10,111,81.0,0
Foggy,City,11,16,77.0,0
Sunny,Highway,13,24,41.0,0
Rainy,Rural,3,233,86.0,0
Sunny,City,0,148,94.0,0
Sunny,,23,33,108.0,0
Rainy,Rural,3,204,125.0,1
Sunny,Highway,18,39,67.0,0
Rainy,Rural,8,207,27.0,0
Sunny,Rural,9,75,92.0,0
Foggy,Rural,3,70,34.0,0
Foggy,City,19,87,51.0,0
Sunny,Highway,8,50,72.0,0
Sunny,Highway,12,91,86.0,0
Sunny,Rural,11,60,23.0,0
Foggy,City,10,181,49.0,1
Sunny,Rural,11,104,32.0,0
Foggy,City,17,22,127.0,1
Rainy,City,11,99,40.0,0
Foggy,City,15,245,60.0,0
Foggy,City,4,149,129.0,1
Rainy,Highway,19,91,38.0,0
Foggy,City,11,18,122.0,0
Sunny,City,20,222,67.0,0
Sunny,Rural,10,57,105.0,0
Foggy,Rural,8,58,82.0,0
Sunny,Highway,17,62,39.0,0
Foggy,Rural,2,193,83.0,1
Sunny,City,19,49,56.0,0
Sunny,Rural,16,116,50.0,0
Foggy,Highway,13,33,93.0,0
Sunny,Rural,0,235,37.0,0
Foggy,Rural,16,209,126.0,1
Sunny,Highway,7,117,122.0,0
Sunny,Highway,4,42,129.0,0
Rainy,City,4,32,39.0,0
Rainy,Rural,8,86,101.0,0
,City,2,63,30.0,0
Rainy,Rural,18,62,105.0,0
Foggy,Rural,22,58,63.0,0
Rainy,City,8,215,101.0,1
Sunny,Rural,21,87,83.0,0
Foggy,Rural,17,89,53.0,0
Foggy,Rural,15,186,106.0,1
Sunny,Highway,0,111,84.0,0
Foggy,City,1,131,74.0,0
Foggy,Highway,13,197,93.0,1
Rainy,City,13,112,20.0,0
Foggy,City,0,99,57.0,0
Sunny,Rural,15,99,122.0,0
Rainy,City,14,202,28.0,0
Rainy,Highway,14,169,114.0,1
Sunny,Highway,11,130,90.0,0
Sunny,Highway,15,216,36.0,0
Rainy,City,13,158,118.0,1
Foggy,Highway,23,155,120.0,1
Rainy,City,14,231,71.0,0
Sunny,Highway,22,69,37.0,0
Rainy,Highway,14,131,82.0,0
Sunny,City,18,150,52.0,0
Rainy,Highway,7,161,23.0,0
Foggy,Rural,1,39,106.0,0
Rainy,City,1,139,94.0,0
Rainy,City,9,92,71.0,1
Sunny,City,2,120,28.0,0
,Rural,22,117,83.0,0
Sunny,City,16,120,49.0,0
Rainy,Highway,7,34,27.0,0
Foggy,Highway,22,59,123.0,0
Sunny,Highway,3,23,24.0,0
Sunny,City,13,143,95.0,0
Rainy,Highway,20,85,82.0,0
Sunny,City,9,93,20.0,0
Foggy,Highway,0,96,34.0,0
Foggy,Rural,3,167,108.0,1
Sunny,Rural,0,39,101.0,0
Sunny,Rural,16,175,57.0,0
Rainy,Rural,16,67,61.0,0
Foggy,City,6,103,65.0,0
Foggy,Highway,22,50,72.0,0
Sunny,Rural,19,103,45.0,0
Rainy,City,14,66,80.0,0
Foggy,Rural,12,173,123.0,1
Foggy,Rural,1,73,86.0,0
Rainy,City,18,107,73.0,1
Rainy,City,23,25,41.0,0
Foggy,Highway,12,97,45.0,0
Foggy,Highway,23,87,102.0,0
Rainy,Rural,10,99,127.0,1
Foggy,Rural,21,81,127.0,0
Sunny,Highway,14,23,79.0,0
Sunny,Highway,9,40,58.0,0
Rainy,City,8,75,55.0,0
Rainy,Highway,8,121,40.0,0
Rainy,Highway,19,77,60.0,0
Sunny,Rural,0,202,67.0,0
Foggy,Highway,16,64,45.0,0
Sunny,Rural,11,221,82.0,0
Foggy,Highway,9,132,96.0,1
Sunny,City,4,215,55.0,0
Foggy,,17,177,43.0,1
Sunny,Highway,14,162,124.0,0
Rainy,Highway,5,34,109.0,0
Sunny,Rural,6,140,40.0,0
Foggy,City,16,78,37.0,0
Sunny,Highway,5,111,34.0,0
Sunny,Rural,7,127,98.0,0
Sunny,City,11,35,25.0,0
Rainy,Rural,20,49,62.0,0
Sunny,Rural,13,47,50.0,0
Rainy,City,11,175,47.0,0
Rainy,Highway,22,205,27.0,0
Sunny,Rural,9,16,48.0,0
Sunny,Rural,21,231,40.0,0
Sunny,Highway,19,167,100.0,0
Foggy,Highway,14,129,107.0,1
Sunny,City,6,156,77.0,0
Rainy,City,8,240,79.0,1
Sunny,City,9,44,69.0,0
Foggy,Highway,9,241,119.0,1
Sunny,Rural,15,170,50.0,0
Foggy,Rural,6,170,66.0,1
Foggy,City,4,87,53.0,0
,Highway,22,47,21.0,0
Rainy,Rural,2,147,125.0,0
Foggy,City,17,194,86.0,1
Sunny,Rural,10,37,113.0,0
Sunny,Rural,14,215,91.0,0
Rainy,Highway,20,109,71.0,0
Foggy,Highway,19,47,26.0,0
Foggy,Rural,4,153,95.0,1
Sunny,City,23,133,38.0,0
Sunny,Highway,11,158,109.0,0
Rainy,Rural,3,101,111.0,0
Rainy,Highway,14,106,34.0,0
Foggy,Highway,8,15,97.0,1
Foggy,Highway,6,178,67.0,1
Sunny,Rural,9,136,33.0,0
Foggy,City,22,24,22.0,0
Rainy,City,12,117,69.0,0
Rainy,City,7,140,112.0,0
Sunny,Highway,11,52,73.0,0
Rainy,Rural,21,56,25.0,0
Rainy,Highway,23,108,68.0,0
Rainy,City,18,23,42.0,0
Rainy,City,0,203,111.0,1
Sunny,Rural,15,166,97.0,0
Sunny,Highway,21,141,97.0,0
Foggy,City,16,163,39.0,0
Rainy,Rural,17,124,96.0,1
Foggy,Highway,10,149,110.0,1
Sunny,Highway,17,11,79.0,0
Sunny,City,6,154,118.0,0
Sunny,City,17,44,64.0,0
Sunny,Highway,7,19,80.0,0
Sunny,Highway,5,121,75.0,0
Sunny,City,6,223,21.0,0
Sunny,Highway,22,242,124.0,0
Rainy,City,21,180,64.0,0
Foggy,Highway,9,30,59.0,0
Sunny,City,10,24,43.0,0
Rainy,Rural,12,172,48.0,0
Rainy,City,8,121,86.0,1
Foggy,City,6,135,128.0,1
Sunny,Rural,8,94,87.0,0
Foggy,Highway,12,94,85.0,0
Sunny,Rural,2,222,,0
Rainy,,2,197,73.0,0
Rainy,Highway,0,181,72.0,0
Rainy,Rural,20,233,98.0,1
Rainy,Highway,19,14,68.0,0
Foggy,Highway,1,240,51.0,0
Sunny,Rural,2,210,80.0,0
Sunny,,14,126,61.0,0
Foggy,Rural,23,155,20.0,0
Sunny,City,5,158,82.0,0
Rainy,Highway,12,81,121.0,0
Sunny,City,20,245,54.0,0
Rainy,City,0,235,70.0,0
Foggy,Highway,19,83,90.0,0
Sunny,Rural,18,60,64.0,0
Foggy,Highway,0,178,96.0,1
Sunny,City,20,33,84.0,0
Rainy,City,21,241,33.0,0
Foggy,Rural,1,161,112.0,1
Sunny,Highway,14,233,22.0,0
Rainy,City,13,234,129.0,1
Foggy,City,18,47,43.0,0
,City,10,53,84.0,0
Sunny,Rural,14,194,67.0,0
Sunny,City,5,196,29.0,0
Sunny,City,19,171,32.0,0
,Highway,8,84,119.0,0
Sunny,Highway,4,104,92.0,0
Foggy,City,19,219,33.0,1
Foggy,City,1,32,119.0,0
Sunny,Highway,5,133,29.0,0
